player,rounds_played,vlr_rating,acs,kd,kast,adr,kpr,apr,dpr,fkpr,fdpr,hs_percent,cl_percent,year
MeteorT1,2405,1.04,219.9,1.14,0.71,145.2,0.79,0.16,0.7,0.12,0.09,0.3,0.1,2024
trentG2,1816,1.04,191.5,0.96,0.73,129.1,0.65,0.33,0.68,0.08,0.08,0.27,0.18,2024
xfferoRRQ,708,1.04,209.1,1.07,0.72,136.3,0.74,0.24,0.69,0.09,0.08,0.31,0.2,2024
cauanzinLOUD,1618,1.04,205.3,1.04,0.75,130.0,0.72,0.39,0.69,0.1,0.08,0.24,0.16,2023
CoreXG,441,1.04,185.5,1.06,0.81,122.1,0.69,0.35,0.65,0.03,0.03,0.24,0.05,2023
LinkALG,382,1.04,202.8,1.03,0.76,135.5,0.71,0.26,0.69,0.08,0.1,0.25,0.11,2023
xetaT1,1085,1.04,191.9,0.99,0.76,123.9,0.65,0.36,0.66,0.06,0.06,0.22,0.15,2023
DaveeySKRÜ,810,1.04,187.7,1.03,0.72,124.7,0.67,0.29,0.65,0.09,0.09,0.26,0.18,2023
ZoomerCCG,342,1.04,190.9,1.03,0.76,125.1,0.7,0.35,0.68,0.08,0.06,0.3,0.24,2023
nAtsTL,648,1.04,213.0,1.09,0.71,139.8,0.75,0.25,0.69,0.1,0.09,0.28,0.11,2025
johnqtSEN,527,1.04,182.6,1.0,0.74,123.7,0.65,0.26,0.65,0.06,0.05,0.25,0.07,2025
SayaplayerRC,1065,1.04,211.1,1.08,0.72,139.5,0.77,0.14,0.71,0.17,0.14,0.27,0.13,2024
MrFaliNFUT,1325,1.04,189.6,0.96,0.74,124.8,0.65,0.43,0.68,0.08,0.08,0.23,0.15,2024
nzrMIBR,465,1.04,194.8,0.98,0.71,133.3,0.69,0.29,0.7,0.03,0.03,0.26,0.14,2024
ShaoNAVI,760,1.04,191.8,1.01,0.74,129.5,0.68,0.37,0.68,0.08,0.08,0.31,0.2,2024
DepZETA,884,1.04,232.4,1.09,0.7,149.2,0.82,0.16,0.75,0.18,0.15,0.25,0.14,2023
C0MLEV,1659,1.03,187.1,1.02,0.73,123.0,0.66,0.35,0.64,0.07,0.07,0.21,0.19,2023
qw1GAL,1091,1.03,220.4,1.13,0.67,139.8,0.8,0.13,0.71,0.2,0.17,0.25,0.16,2023
RevivalXLG,211,1.03,203.3,1.06,0.73,141.6,0.78,0.25,0.73,0.07,0.07,0.21,0.16,2023
ardiisNAVI,1437,1.03,217.7,1.08,0.73,143.5,0.75,0.24,0.69,0.18,0.14,0.19,0.12,2023
Asuna100T,224,1.03,229.5,1.03,0.72,152.5,0.76,0.29,0.74,0.22,0.18,0.24,0.39,2025
ceNderVIT,667,1.03,208.2,1.03,0.69,140.6,0.72,0.21,0.7,0.09,0.08,0.28,0.14,2023
purp0GX,538,1.03,215.4,1.02,0.68,144.2,0.75,0.16,0.74,0.19,0.15,0.34,0.08,2024
EthanNRG,632,1.03,206.1,1.01,0.76,130.1,0.7,0.44,0.69,0.08,0.08,0.21,0.16,2024
2GETS,330,1.03,186.3,1.03,0.73,120.6,0.67,0.32,0.65,0.07,0.08,0.3,0.21,2024
nAtsTL,683,1.03,210.4,1.08,0.73,140.9,0.75,0.25,0.69,0.08,0.1,0.29,0.14,2024
Asuna100T,752,1.03,204.2,0.95,0.73,134.4,0.69,0.4,0.73,0.09,0.1,0.2,0.13,2023
Strawberrycc4AM,358,1.03,243.2,1.04,0.68,154.5,0.82,0.18,0.79,0.23,0.2,0.2,0.09,2023
KeikoTL,683,1.03,218.5,1.1,0.69,143.9,0.8,0.16,0.73,0.18,0.16,0.31,0.13,2024
dgzinLOUD,810,1.02,224.2,1.08,0.71,138.7,0.79,0.14,0.73,0.22,0.17,0.27,0.17,2023
ICEKINGTYL,388,1.02,195.2,0.91,0.8,146.7,0.67,0.5,0.74,0.07,0.09,0.22,0.07,2023
2GETS,464,1.02,173.1,0.97,0.75,115.4,0.63,0.45,0.65,0.03,0.06,0.27,0.15,2023
foxzXGOD,700,1.02,196.2,0.98,0.71,132.4,0.68,0.35,0.69,0.07,0.08,0.26,0.12,2023
JamppiBBL,1088,1.02,200.7,1.05,0.69,128.6,0.71,0.3,0.68,0.08,0.09,0.25,0.26,2023
ZyppanM8,1311,1.02,199.5,1.0,0.74,133.5,0.7,0.37,0.7,0.09,0.08,0.32,0.15,2023
ShyyKRÜ,987,1.02,191.4,1.01,0.72,132.6,0.67,0.25,0.66,0.09,0.06,0.22,0.1,2023
ZellsisSEN,891,1.02,184.5,1.01,0.73,124.2,0.65,0.27,0.64,0.07,0.08,0.19,0.2,2023
mwzeraFUR,810,1.02,211.4,1.0,0.73,142.1,0.72,0.32,0.71,0.08,0.1,0.2,0.17,2023
LazZETA,884,1.02,187.4,1.04,0.72,124.8,0.67,0.27,0.64,0.09,0.07,0.26,0.14,2023
XeppaaC9,211,1.02,207.7,1.01,0.72,138.3,0.74,0.26,0.73,0.08,0.07,0.23,0.24,2025
